Fl	Ro	Ns	V	E	V_R	E_R	MEMC	MEMR	T_C	T_R
1	1	34	147	477	187	653	8	122	20	240
1	10	169	291	1080	475	1904	10	76	42	397
1	100	1519	1731	7110	3355	14414	47	268	713	8061
10	10	304	1884	7821	3652	15827	53	203	989	11035
10	100	1654	16284	68931	32452	142547	169	168	134021	1539300
20	100	1804	32454	137621	64782	284917	62	448	518024	7844505
50	100	2254	80964	343691	161772	712027	143	1212	3605269	53969464
80	100	2704	129474	549761	258762	1139137	261	970	9472510	145808739
100	100	3004	161814	687141	323422	1423877	194	2048	14584104	0	
200	100	4504	323514	1374041	646844	2847754	922	2048	59607232	0	
