Fl	Ro	Ns	V	E	V_R	E_R	MEMC	MEMR	T_C	T_R
1	1	10	123	381	143	477	8	54	16	95
1	10	46	168	588	251	1008	10	98	18	166
1	100	406	618	2658	1331	6318	47	228	156	2047
10	10	82	672	2973	1448	7011	53	151	186	2587
10	100	442	5172	24483	12248	61731	169	300	15850	256934
20	100	482	10232	48733	24496	48733	62	284	73692	1352861
50	100	602	25412	121483	60768	308011	143	267	492255	12631754
80	100	722	40592	194233	97158	492721	261	416	1312923	34668894
100	100	802	50712	242733	121418	615861	194	510	2172877	54904640
200	100	1202	101312	485233	242718	1231561	922	1014	8742782	225609628
